PLU,ARTICLE,ARTICLE DESCRIPTION,PRICE
356,1418965,TEA CULTURE LIQUID GOLD BREWERS CLLCTION,1800
358,1418966,TEA CULTURE LIQUID GOLD TEALEAF CLLCTION,1800
359,1365377,PIZZA TOPPING,109
360,1418967,TEA CULTURE MASALA CHAI CADDY GIFTSET,1460
361,1418968,TEA CULTURE MEADOW CADDIES 100G,1400
362,1418969,TEA CULTURE PURPLE SKY CADDIES 100G,1490
363,1367091,POMELLO PEELED 1PC PK NB,99
364,1418970,TEA CULTURE THROAT RESUCE CADDY GIFTSET,1660
365,1418971,TCW BALMAADI ORGANIC LOOSE COFFE BEAN KG,5000
366,1418972,TCW BARBAARA AA LOOSE COFFEE BEANS KG,3900
367,1418973,TCW SWARNAGIRI MOUTAIN LSE COFFE BEAN KG,3500
369,1418974,TCW BABABUDANGIRI LOOSE COFFEE BEANS KG,3800
370,1418975,TCW KENYAN AAPLUS MASAI LSE COFE BEAN KG,1400
371,1367063,PUMPKIN CUBES,55
372,1365436,RAM BHUTAN,1399
374,1418976,TCW COLUMBIAN SUPREMO LOOSE COFE BEAN KG,1050
377,1418977,TCW MYSORE NUGGET EB LOOSE COFFE BEAN KG,3500
379,1365268,SPROUTS CHANA GREEN 200G,49
380,1418978,TCW MONSOON MALABAR AAA LSE COFE BEAN KG,3700
381,1418979,TCW DARK MATTER LOOSE COFFEE BEANS KG,3150
382,1418980,TCW COLD BREW BLEND LOOSE COFEE BEANS KG,3150
383,1365338,SPROUTS GREEN PEAS 200G,79
384,1418981,TCW NLGIRI BLUEMOUNTAIN LSE COFE BEAN KG,3550
385,1418982,TCW COLUMBIAN DECAF LOOSE COFFEE BEAN KG,1134
387,1365200,SPROUTS MIXED PKT,49
388,1418983,Tea Culture 100 gram metal Tea tin,165
389,1365333,STIR FRY ASIAN,109
390,1365325,STIR FRY CHINESE,119
391,1367069,STIR FRY CRUNCHY VEG,119
392,1418984,Tea Culture 50 gram metal Tea tin,150
393,1418985,TEA CULTURE GLASS ART TEA POT STYLE 1,2950
